Chr	SNP_Freq_tar	SNP_Freq_def	Difference	Length_tar	Length_def	tar_Density	def_Density
0	825	14118	13293				
1	8028	7197	831	158.523093	158.855123	51	45
2	7051	6371	680	136.105768	136.908437	52	47
3	6349	5715	634	120.957517	123.148964	52	46
4	6070	5450	620	119.841669	120.641946	51	45
5	6640	6026	614	120.071585	125.058666	55	48
6	7293	6683	610	117.767753	122.509741	62	55
7	6308	5698	610	110.639263	112.610067	57	51
8	5687	5072	615	113.255527	113.626199	50	45
9	5390	4854	536	104.59798	105.688974	52	46
10	5255	4781	474	103.229238	104.25358	51	46
11	5436	4890	546	106.942315	107.28296	51	46
12	4589	4122	467	87.141742	91.131021	53	45
13	4262	3828	434	83.457392	84.230359	51	45
14	5219	4793	426	82.390633	84.628243	63	57
15	4363	3896	467	85.00718	85.272311	51	46
16	4138	3685	453	80.86391	81.68807	51	45
17	3781	3393	388	73.106809	75.132928	52	45
18	3360	3005	355	65.81437	65.999195	51	46
19	3226	2886	340	63.432318	64.044783	51	45
20	4149	3772	377	71.958242	71.971771	58	52
21	3564	3247	317	69.808854	71.573501	51	45
22	3128	2803	325	60.710593	61.378199	52	46
23	2713	2410	303	52.407352	52.465632	52	46
24	3652	3338	314	62.277921	62.643699	59	53
25	2211	1968	243	42.292572	42.851121	52	46
26	2681	2387	294	51.95641	51.663776	52	46
27	2393	2075	318	45.500252	45.388171	53	46
28	2335	2074	261	45.913154	46.224056	51	45
29	2622	2327	295	51.072873	51.492483	51	45
30	5590	5055	535				
31	15	18	3				
33	8	8	0				
99	107	493	386				
