ID	Chr	Start	End	n_gene	gene_name
CNVR_1	1	1556392	2086121	9	ATP5PO,MIR12045,MIR2285BS,CRYZL1,DONSON,SON,MIR6501,GART,TMEM50B
CNVR_2	1	5519231	5569070	NA	NA
CNVR_3	1	6813154	6893254	NA	NA
CNVR_4	1	7159731	7202401	1	LTN1
CNVR_5	1	7260253	7280774	1	N6AMT1
CNVR_6	1	9666125	9708099	NA	NA
CNVR_7	1	10954721	11033253	NA	NA
CNVR_8	1	14247401	14579710	NA	NA
CNVR_9	1	15191489	15250173	NA	NA
CNVR_10	1	15408544	15492702	NA	NA
CNVR_11	1	15624885	15727563	NA	NA
CNVR_12	1	15990556	16114873	NA	NA
CNVR_13	1	16446038	16604159	NA	NA
CNVR_14	1	16817375	17537664	NA	NA
CNVR_15	1	17863023	18194846	NA	NA
CNVR_16	1	18918611	19206010	NA	NA
CNVR_17	1	19455564	19507076	1	CXADR
CNVR_18	1	20541415	20566611	NA	NA
CNVR_19	1	23030390	28064356	1	ROBO1
CNVR_20	1	30659162	30840833	NA	NA
CNVR_21	1	31475581	31699827	NA	NA
CNVR_22	1	32073771	32180030	NA	NA
CNVR_23	1	33584316	33610831	NA	NA
CNVR_24	1	38112817	38181686	NA	NA
CNVR_25	1	38752163	38802298	NA	NA
CNVR_26	1	38870499	41759552	NA	NA
CNVR_27	1	42466675	42574052	NA	NA
CNVR_28	1	42615734	42692592	NA	NA
CNVR_29	1	44571298	44649313	1	NIT2
CNVR_30	1	45090218	45146168	1	ADGRG7
CNVR_31	1	45837138	45869917	1	SENP7
CNVR_32	1	47050759	49515972	NA	NA
CNVR_33	1	49952651	50064432	1	ALCAM
CNVR_34	1	50767507	50809694	NA	NA
CNVR_35	1	54843886	54978255	NA	NA
CNVR_36	1	69979144	70404106	5	OSBPL11,RPL35A,IQCG,FYTTD1,RUBCN
CNVR_37	1	71238937	71380741	1	PAK2
CNVR_38	1	75707006	75732698	NA	NA
CNVR_39	1	81343507	81416748	1	IGF2BP2
CNVR_40	1	83707085	83810343	1	B3GNT5
CNVR_41	1	84046023	84284676	1	DCUN1D1
CNVR_42	1	88012422	88278205	2	ZMAT3,KCNMB2
CNVR_43	1	90408826	94679895	1	NLGN1
CNVR_44	1	94782982	94804961	NA	NA
CNVR_45	1	101346641	101402516	NA	NA
CNVR_46	1	101612280	102089512	NA	NA
CNVR_47	1	103272899	103339600	NA	NA
CNVR_48	1	104199530	104263712	NA	NA
CNVR_49	1	104515879	104784023	NA	NA
CNVR_50	1	104932182	105100473	NA	NA
CNVR_51	1	105239570	105472672	NA	NA
CNVR_52	1	115368465	115487178	1	MBNL1
CNVR_53	1	120398043	120455085	NA	NA
CNVR_54	1	122712193	123649875	NA	NA
CNVR_55	1	126520577	126747762	2	XRN1,GK5
CNVR_56	1	131466441	131488608	NA	NA
CNVR_57	1	141411087	141464985	1	BACE2
CNVR_58	1	153209819	153246471	1	GALNT15
CNVR_59	1	154336232	154445682	1	TBC1D5
CNVR_60	1	157003140	157019589	NA	NA
CNVR_61	1	157665979	157775990	1	LOC538060
CNVR_62	1	157905244	157913264	NA	NA
CNVR_63	2	204346	288663	NA	NA
CNVR_64	2	2326560	2458209	NA	NA
