Chr	bin	name	strand	g_Start	g_End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	Sample_ID	CNV_Start	CNV_End	CNV_Value	CNV_Conf	Comment	Empty	Length	Check_gene
2																201094560026_R01C01	77033487	78576254	3	42.36188			1542768	Non_gene
2	18	NM_001076101	-	80621360	80899308	80621593	80898897	10	80621360,80624723,80626420,80677595,80678570,80743425,80880458,80887592,80896313,80898725,	80621690,80624882,80626544,80677655,80678719,80743522,80880485,80887722,80896423,80899308,	0	TMEFF2	cmpl	cmpl	2,2,1,1,2,1,1,0,1,0,	201094560026_R01C01	80657530	84228252	3	90.175			3570723	Has_gene
3	17	NM_001281916	+	69157757	69583184	69158251	69581622	23	69157757,69378185,69406287,69467346,69502533,69524728,69535273,69536226,69542461,69544111,69548391,69555623,69559343,69561562,69562127,69562709,69563457,69569834,69571724,69572410,69572597,69574396,69581515,	69158258,69378227,69406336,69467420,69502618,69524813,69535402,69536287,69542585,69544195,69548504,69555755,69559443,69561655,69562215,69562972,69563552,69569938,69571798,69572481,69572686,69574481,69583184,	0	SLC44A5	cmpl	cmpl	0,1,1,2,1,2,0,0,1,2,2,1,1,2,2,0,2,1,0,2,1,0,1,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
3	1118	NM_001015620	-	69968111	69990582	69968370	69990544	6	69968111,69980255,69983111,69983401,69986340,69990370,	69968587,69980389,69983183,69983500,69986421,69990582,	0	TYW3	cmpl	cmpl	2,0,0,0,0,0,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
3	139	NM_174025	+	69990730	70019345	69995906	70018272	10	69990730,69991164,69995893,69997610,70001337,70007900,70013713,70017395,70017596,70018107,	69990781,69991460,69996017,69997763,70001501,70007952,70013863,70017497,70017692,70019345,	0	CRYZ	cmpl	cmpl	-1,-1,0,0,0,2,0,0,0,0,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
3	17	NM_001078008	-	70212108	70556639	70212553	70556574	25	70212108,70215931,70273506,70278146,70311221,70331977,70337284,70337814,70426561,70427392,70427707,70427851,70428888,70429519,70441813,70442558,70447174,70447365,70453052,70455631,70513472,70540882,70542052,70555821,70556534,	70212630,70216011,70273676,70278206,70311331,70332110,70337337,70337867,70426666,70427587,70427765,70427944,70428945,70429606,70441963,70442653,70447279,70447510,70453191,70455730,70513583,70540980,70542138,70555930,70556639,	0	TNNI3K	cmpl	cmpl	1,2,0,0,1,0,1,2,2,2,1,1,1,1,1,2,2,1,0,0,0,1,2,1,0,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
3	1123	NM_001191283	-	70600176	70608293	70601765	70608293	4	70600176,70605277,70606513,70608211,	70603225,70605370,70606681,70608293,	0	FPGT	cmpl	cmpl	1,1,1,0,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
3	140	NM_001105391	+	70608441	70718325	70627498	70718201	6	70608441,70627498,70631497,70651486,70681849,70718168,	70608613,70627747,70631842,70651620,70682003,70718325,	0	LRRIQ3	cmpl	cmpl	-1,0,0,0,2,0,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
3	17	NM_001205414	+	72811993	73846987	72812246	73845504	7	72811993,73251091,73417786,73496538,73605496,73629114,73845379,	72812422,73251324,73417912,73496670,73605617,73629266,73846987,	0	NEGR1	cmpl	cmpl	0,2,1,1,1,2,1,	201094560026_R01C01	69516299	74015041	3	61.43423			4498743	Has_gene
4	19	NM_001191184	+	84688360	85252121	84688360	85251322	6	84688360,85236502,85243861,85245320,85249004,85251144,	84689475,85236665,85243957,85245413,85249252,85252121,	0	KCND2	cmpl	cmpl	0,2,0,0,0,2,	201094560026_R01C01	82887750	84792163	3	73.48348			1904414	Has_gene
