ID_2	Gene	Chr_2	CNVR_Start_2	CNVR_End_2	num_gene
CNVR_103	GBP4	3	54369910	55074485	1
CNVR_142	FKBP14,MTURN,PLEKHA8,SCRN1	4	66482908	67007235	4
CNVR_147	ZNF804B	4	73676903	73758088	1
CNVR_239	UGT2B10	6	85838311	86207116	1
CNVR_309	FANCC	8	83006556	83048502	1
CNVR_310	TSPY	8	83190665	83273697	1
CNVR_440	RPL7A,SURF4	11	103264921	107282960	2
CNVR_474	MIR3141	12	72419043	76870470	1
CNVR_475	FGF14	12	82137254	82234423	1
CNVR_497	LOC782061	13	43643509	43790405	1
CNVR_61	CERS6,MIR2353,NOSTRIN,STK39	2	27366556	28035273	4
CNVR_615	ARVCF,COMT,DGCR8,GNB1L,MIR1306,MIR185,PRODH,RANBP1,TANGO2,TXNRD2,UFD1	17	73291697	75132928	11
CNVR_747	BLA-DQB,BOLA-DRB3,LOC100848815	23	25222914	25978647	3
CNVR_774	MAPK8IP3,MRPS34,NME3,NUBP2,SPSB3	25	173462	1771425	5
