Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequency	n_Sample	0	1	3	4	Type	Length	Check_gene
1	592	NM_174244	+	922634	929993	922664	929925	7	922634,924036,925033,927297,928109,929447,929811,	922700,924087,925144,927427,928222,929534,929993,	0	ATP5PO	cmpl	cmpl	0,0,0,0,1,0,0,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	592	NR_162412	-	945017	945080	945080	945080	1	945017,	945080,	0	MIR12045	unk	unk	-1,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	592	NR_162306	-	1006029	1006090	1006090	1006090	1	1006029,	1006090,	0	MIR2285BS	unk	unk	-1,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	594	NM_001035037	+	1189227	1222851	1197956	1222558	13	1189227,1197950,1199591,1200397,1202510,1204233,1212848,1214108,1216476,1218230,1219380,1221872,1222458,	1189283,1198022,1199669,1200470,1202555,1204302,1212982,1214220,1216575,1218352,1219486,1221918,1222851,	0	CRYZL1	cmpl	cmpl	-1,0,0,0,1,1,1,0,1,1,0,1,2,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	594	NM_001083445	+	1223604	1233645	1223604	1233011	10	1223604,1224652,1225666,1226772,1228164,1228966,1229156,1230107,1231485,1232873,	1223901,1224733,1225870,1226951,1228343,1229048,1229261,1230306,1231698,1233645,	0	DONSON	cmpl	cmpl	0,0,0,0,2,1,2,2,0,0,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	594	NM_001083694	-	1233904	1264762	1234655	1264713	13	1233904,1235333,1235550,1237405,1241585,1242712,1249922,1250304,1252353,1253812,1257912,1261470,1264636,	1234814,1235449,1235622,1237553,1241702,1242823,1250111,1250451,1252515,1256955,1259715,1261637,1264762,	0	SON	cmpl	cmpl	0,1,1,0,0,0,0,0,0,1,1,2,0,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	594	NR_162354	-	1258472	1258536	1258536	1258536	1	1258472,	1258536,	0	MIR6501	unk	unk	-1,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	594	NM_001040473	+	1265742	1292030	1268519	1291437	22	1265742,1268478,1269746,1270319,1273738,1274819,1275390,1276593,1277169,1277419,1280561,1282671,1283060,1283512,1284753,1285297,1287453,1288745,1289876,1290248,1291047,1291245,	1265793,1268664,1269842,1270494,1273850,1274888,1275516,1276681,1277255,1277588,1280793,1282766,1283170,1283711,1285005,1285450,1287660,1288883,1290007,1290390,1291163,1292030,	0	GART	cmpl	cmpl	-1,0,1,1,2,0,0,0,1,0,1,2,1,0,1,1,1,1,1,0,1,0,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1	595	NM_001034786	+	1324543	1361381	1343015	1359948	7	1324543,1342974,1345086,1346483,1353535,1356403,1359902,	1324644,1343114,1345199,1346551,1353628,1356461,1361381,	0	TMEM50B	cmpl	cmpl	-1,0,0,2,1,1,2,	CNVR_1	835371	1363932	11	11		6	5		Mixed	528562	Has_gene
1																CNVR_2	4784221	4834622	1	1		1			Loss	50402	Non_gene
1																CNVR_3	6154638	6236417	2	2		2			Loss	81780	Non_gene
1	79	NM_001192509	+	6546057	6603891	6546057	6603442	30	6546057,6552434,6553236,6554364,6556897,6557716,6562689,6563808,6565042,6566014,6567509,6570127,6570984,6571839,6572790,6573394,6575188,6576300,6579983,6584339,6584665,6585712,6586422,6587214,6593249,6597737,6599001,6600748,6602309,6603379,	6546099,6552638,6553335,6554595,6556950,6557897,6562863,6563999,6565178,6566824,6567551,6570317,6571224,6571993,6572935,6573581,6575348,6576405,6580126,6584475,6584810,6585926,6586660,6587289,6593436,6597909,6599222,6600943,6602477,6603891,	0	LTN1	cmpl	cmpl	0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,1,2,2,1,2,0,1,2,2,0,1,0,0,0,	CNVR_4	6521869	6643841	3	3			3		Gain	121973	Has_gene
1	635	NM_001083513	-	6630180	6643906	6630971	6643899	6	6630180,6632158,6635987,6639703,6640519,6643765,	6631078,6632300,6636071,6639794,6640606,6643906,	0	N6AMT1	cmpl	cmpl	1,0,0,2,2,0,	CNVR_4	6521869	6643841	3	3			3		Gain	121973	Has_gene
1																CNVR_5	9038916	9080890	1	1			1		Gain	41975	Non_gene
1																CNVR_6	14876816	14961941	1	1		1			Loss	85126	Non_gene
1																CNVR_7	15103954	15207398	1	1		1			Loss	103445	Non_gene
1																CNVR_8	15491288	15605365	2	2		2			Loss	114078	Non_gene
1																CNVR_9	15937076	16069418	1	1			1		Gain	132343	Non_gene
1																CNVR_10	16119771	17021138	19	19	1	13	5		Mixed	901368	Non_gene
1																CNVR_11	17354497	17685698	8	8		5	3		Mixed	331202	Non_gene
1																CNVR_12	22780117	22841754	1	1		1			Loss	61638	Non_gene
1																CNVR_13	24980365	24994877	1	1		1			Loss	14513	Non_gene
1																CNVR_14	30224415	30414871	3	3		2	1		Mixed	190457	Non_gene
1																CNVR_15	31038475	31269020	4	4		4			Loss	230546	Non_gene
1																CNVR_16	31641787	31670765	1	1		1			Loss	28979	Non_gene
1																CNVR_17	33149633	33176151	1	1		1			Loss	26519	Non_gene
1																CNVR_18	37713094	37781476	12	12		11	1		Mixed	68383	Non_gene
1																CNVR_19	38352766	38403540	1	1		1			Loss	50775	Non_gene
1																CNVR_20	38738078	38863022	3	3		1	2		Mixed	124945	Non_gene
1																CNVR_21	39120497	39201041	1	1			1		Gain	80545	Non_gene
1																CNVR_22	39500943	39595785	2	2			2		Gain	94843	Non_gene
1																CNVR_23	39849645	39910369	1	1		1			Loss	60725	Non_gene
1																CNVR_24	40018323	40068132	1	1		1			Loss	49810	Non_gene
1																CNVR_25	40353369	40379850	2	2			2		Gain	26482	Non_gene
1																CNVR_26	44526250	44542735	1	1			1		Gain	16486	Non_gene
