name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
A1BG	1	CNVR_721	18	65609903	65814370
ABCG2	8	CNVR_253	6	36535012	36551432
ABCG5	1	CNVR_469	11	25925590	26384861
ABCG8	1	CNVR_469	11	25925590	26384861
ABHD14B	1	CNVR_834	22	48907762	49184065
ABHD16A	1	CNVR_848	23	27494111	27795168
ABHD16B	1	CNVR_553	13	53954346	54135002
ABI1	3	CNVR_537	13	17800892	17909299
ABL2	18	CNVR_658	16	60525984	60807765
ABO	11	CNVR_489	11	103219634	106640039
ABTB1	2	CNVR_838	22	59789766	60710593
ACACA	1	CNVR_732	19	13678370	13749514
ACAD9	2	CNVR_836	22	58236823	59004418
ACADL	2	CNVR_99	2	97988530	98062823
ACAP1	1	CNVR_740	19	26942729	27421507
ACBD5	2	CNVR_537	13	17800892	17909299
ACMSD	1	CNVR_91	2	62337521	62378856
ACOX3	4	CNVR_294	6	113950763	115559907
ACR	5	CNVR_235	5	118094837	120071585
ACSL6	2	CNVR_307	7	22521430	23489956
ACTL6B	1	CNVR_886	25	35847022	36012574
ACTR6	1	CNVR_215	5	64116108	64230589
ACY1	1	CNVR_834	22	48907762	49184065
ADAM32	2	CNVR_917	27	34176183	34272250
ADAM9	1	CNVR_917	27	34176183	34272250
ADAMTSL2	10	CNVR_489	11	103219634	106640039
ADAP1	2	CNVR_889	25	40583579	42056885
ADAP2	1	CNVR_736	19	18012136	18118339
ADCK5	4	CNVR_562	14	330256	1044777
ADD3	1	CNVR_903	26	30679250	30703028
ADGRA1	4	CNVR_908	26	50637350	51091399
ADGRG7	1	CNVR_30	1	45090218	45146168
ADGRL3	1	CNVR_276	6	77611108	77764419
ADK	1	CNVR_933	28	29872623	30439777
ADM2	3	CNVR_235	5	118094837	120071585
ADPRHL1	1	CNVR_531	12	86064733	86688013
ADSS	1	CNVR_648	16	32754885	32852344
ADSSL1	10	CNVR_823	21	68643064	69808854
AEBP2	1	CNVR_217	5	89124173	93490294
AFAP1	1	CNVR_294	6	113950763	115559907
AGFG2	1	CNVR_886	25	35847022	36012574
AGL	1	CNVR_123	3	42917941	43378710
AGMO	1	CNVR_158	4	23905307	23939782
AGO1	1	CNVR_142	3	109750764	110033765
AGO3	1	CNVR_142	3	109750764	110033765
AGPAT2	5	CNVR_489	11	103219634	106640039
