Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequency	n_Sample	0	1	3	4	Type	Length	Check_gene
1																CNVR_1	15191489	15250173	1	1	1				Loss	58685	Non_gene
1																CNVR_2	16446038	16604159	1	1			1		Gain	158122	Non_gene
1																CNVR_3	16942821	17537664	2	2	1	1			Loss	594844	Non_gene
1	733	NM_174298	-	19459302	19502361	19460175	19502252	7	19459302,19461504,19462424,19463461,19471645,19478052,19502209,	19460440,19461643,19462547,19463617,19471850,19478219,19502361,	0	CXADR	cmpl	cmpl	2,1,1,1,0,1,0,	CNVR_4	19455564	19507076	1	1			1		Gain	51513	Has_gene
1	12	NM_001192888	-	26116519	27253380	26118196	27253329	31	26116519,26119441,26125640,26135466,26138976,26149377,26152545,26155500,26157756,26160643,26167939,26169397,26173529,26177792,26181314,26182387,26183476,26189576,26189826,26190163,26191741,26204864,26207385,26211500,26235717,26238289,26238928,26265354,26493566,26706098,27253241,	26118211,26119635,26125949,26135619,26139383,26149626,26152690,26155608,26158092,26160798,26167982,26169424,26173727,26177964,26181436,26182619,26183598,26189743,26189995,26190245,26191947,26205036,26207510,26211509,26235845,26238428,26239049,26265512,26493893,26706182,27253380,	0	ROBO1	cmpl	cmpl	0,1,1,1,2,2,1,1,1,2,1,1,1,0,1,0,1,2,1,0,1,0,1,1,2,1,0,1,1,1,0,	CNVR_5	23030390	28064356	4	4			4		Gain	5033967	Has_gene
1																CNVR_6	38870499	41759552	2	2			1	1	Gain	2889054	Non_gene
1																CNVR_7	47050759	49515972	3	3	2		1		Mixed	2465214	Non_gene
1																CNVR_8	54843886	54978255	1	1		1			Loss	134370	Non_gene
1	1256	NM_001076108	+	88005949	88038012	88010225	88037608	6	88005949,88010168,88031463,88034708,88034996,88037396,	88006207,88010495,88031583,88034875,88035097,88038012,	0	ZMAT3	cmpl	cmpl	-1,0,0,0,2,1,	CNVR_9	88012422	88278205	2	2			2		Gain	265784	Has_gene
1	157	NM_001080300	-	88158301	88639351	88159085	88194729	5	88158301,88173952,88177228,88194673,88639266,	88159370,88174148,88177399,88194796,88639351,	0	KCNMB2	cmpl	cmpl	0,2,2,0,-1,	CNVR_9	88012422	88278205	2	2			2		Gain	265784	Has_gene
1	20	NM_001205973	-	93146987	94099859	93147159	93897117	6	93146987,93148797,93152960,93663678,93896624,94099746,	93147982,93149587,93153173,93663831,93897434,94099859,	0	NLGN1	cmpl	cmpl	2,1,1,1,0,-1,	CNVR_10	90408826	94679895	3	3		2	1		Mixed	4271070	Has_gene
1																CNVR_11	122712193	123649875	1	1				1	Gain	937683	Non_gene
1	207	NM_001206062	+	141381596	141487145	141381596	141486921	9	141381596,141426037,141440580,141444311,141448150,141450245,141455452,141459684,141486667,	141381896,141426126,141440797,141444440,141448285,141450347,141455602,141459853,141487145,	0	BACE2	cmpl	cmpl	0,0,2,0,0,0,0,0,1,	CNVR_12	141411087	141464985	2	2	2				Loss	53899	Has_gene
1	219	NM_001193182	+	153179305	153226107	153179305	153224020	11	153179305,153200550,153202500,153206791,153212429,153216192,153217106,153217586,153217615,153221781,153223873,	153179832,153200720,153202705,153206959,153212547,153216387,153217238,153217614,153217692,153221925,153226107,	0	GALNT15	cmpl	cmpl	0,2,1,2,2,0,0,0,1,0,0,	CNVR_13	153209819	153246471	1	1	1				Loss	36653	Has_gene
1																CNVR_14	157678979	157699483	1	1			1		Gain	20505	Non_gene
10																CNVR_128	2367278	2387809	1	1	1				Loss	20532	Non_gene
10																CNVR_129	14157673	14228843	1	1			1		Gain	71171	Non_gene
10																CNVR_130	22796412	23058608	4	4	3		1		Mixed	262197	Non_gene
