name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
LOC100848815	68	CNVR_821	23	25560755	25730370
BLA-DQB	62	CNVR_821	23	25560755	25730370
ZNF804B	39	CNVR_184	4	73129045	73288742
LOC782061	34	CNVR_549	13	43322783	43433183
PLEKHA8	34	CNVR_180	4	66099208	66429603
GBP4	31	CNVR_134	3	54211974	54781990
BOLA-DRB3	30	CNVR_821	23	25560755	25730370
FKBP14	30	CNVR_180	4	66099208	66429603
PRODH	30	CNVR_686	17	71355374	73106809
MTURN	29	CNVR_180	4	66099208	66429603
DGCR8	25	CNVR_686	17	71355374	73106809
RANBP1	25	CNVR_686	17	71355374	73106809
CERS6	24	CNVR_81	2	27318294	27979992
MIR1306	24	CNVR_686	17	71355374	73106809
MIR185	24	CNVR_686	17	71355374	73106809
TANGO2	24	CNVR_686	17	71355374	73106809
ARVCF	23	CNVR_686	17	71355374	73106809
COMT	23	CNVR_686	17	71355374	73106809
TXNRD2	23	CNVR_686	17	71355374	73106809
GNB1L	21	CNVR_686	17	71355374	73106809
FGF14	20	CNVR_528	12	78163435	78251127
MIR2353	19	CNVR_81	2	27318294	27979992
LOC538060	18	CNVR_66	1	157665979	157775990
SOAT1	18	CNVR_650	16	60525984	60784885
LOC616942	17	CNVR_823	23	27998654	28085043
STK39	17	CNVR_81	2	27318294	27979992
RABL6	15	CNVR_488	11	103219634	106640039
SCRN1	15	CNVR_180	4	66099208	66429603
ABL2	14	CNVR_650	16	60525984	60784885
RPL7A	14	CNVR_488	11	103219634	106640039
SURF4	14	CNVR_488	11	103219634	106640039
CCDC183	13	CNVR_488	11	103219634	106640039
MED22	13	CNVR_488	11	103219634	106640039
SURF6	13	CNVR_488	11	103219634	106640039
TMEM141	13	CNVR_488	11	103219634	106640039
C17H22orf39	12	CNVR_686	17	71355374	73106809
CDC45	12	CNVR_686	17	71355374	73106809
CLDN5	12	CNVR_686	17	71355374	73106809
NOSTRIN	12	CNVR_81	2	27318294	27979992
NUDT14	12	CNVR_802	21	68643064	69808854
SEPTIN5	12	CNVR_686	17	71355374	73106809
UFD1	12	CNVR_686	17	71355374	73106809
AKT1	11	CNVR_802	21	68643064	69808854
EDF1	11	CNVR_488	11	103219634	106640039
EPS15	11	CNVR_146	3	94818813	95038877
MAMDC4	11	CNVR_488	11	103219634	106640039
PHPT1	11	CNVR_488	11	103219634	106640039
SARDH	11	CNVR_488	11	103219634	106640039
SLC6A18	11	CNVR_781	20	70604423	71835589
WC-7	11	CNVR_231	5	101977430	102029541
ABO	10	CNVR_488	11	103219634	106640039
ADSSL1	10	CNVR_802	21	68643064	69808854
C8G	10	CNVR_488	11	103219634	106640039
FBXW5	10	CNVR_488	11	103219634	106640039
PTGDS	10	CNVR_488	11	103219634	106640039
SIVA1	10	CNVR_802	21	68643064	69808854
SLC16A1	10	CNVR_126	3	30350337	30396757
TEKT4	10	CNVR_861	25	208098	1769456
ADAMTSL2	9	CNVR_488	11	103219634	106640039
CLIC3	9	CNVR_488	11	103219634	106640039
GID8	9	CNVR_553	13	54341978	54892952
GRIA4	9	CNVR_588	15	2325557	2350566
MIR12015	9	CNVR_781	20	70604423	71835589
MTA1	9	CNVR_802	21	68643064	69808854
PAXX	9	CNVR_488	11	103219634	106640039
RSPH14	9	CNVR_686	17	71355374	73106809
SLC17A9	9	CNVR_553	13	54341978	54892952
TECRL	9	CNVR_290	6	79138335	80077784
ABCG2	8	CNVR_263	6	36535012	36551432
APOH	8	CNVR_742	19	62611634	62643241
BTBD6	8	CNVR_802	21	68643064	69808854
CACFD1	8	CNVR_488	11	103219634	106640039
CIAO3	8	CNVR_861	25	208098	1769456
DCUN1D1	8	CNVR_46	1	84046023	84284676
ENTPD2	8	CNVR_488	11	103219634	106640039
FAM173A	8	CNVR_861	25	208098	1769456
FUT7	8	CNVR_488	11	103219634	106640039
GIMAP7	8	CNVR_203	4	112837075	112994064
HAGHL	8	CNVR_861	25	208098	1769456
METRN	8	CNVR_861	25	208098	1769456
MSLN	8	CNVR_861	25	208098	1769456
MYMK	8	CNVR_488	11	103219634	106640039
NPDC1	8	CNVR_488	11	103219634	106640039
SLC2A6	8	CNVR_488	11	103219634	106640039
ATF7IP	7	CNVR_228	5	95376929	95494887
B3GNT5	7	CNVR_45	1	83707085	83810343
BOLA-DQA2	7	CNVR_821	23	25560755	25730370
BOLA-DQA5	7	CNVR_821	23	25560755	25730370
BOLA-DQB	7	CNVR_821	23	25560755	25730370
CHTF18	7	CNVR_861	25	208098	1769456
CLBA1	7	CNVR_802	21	68643064	69808854
CTNNA3	7	CNVR_908	28	22771955	22933760
DBH	7	CNVR_488	11	103219634	106640039
DGCR2	7	CNVR_686	17	71355374	73106809
ENTPD8	7	CNVR_488	11	103219634	106640039
FCN1	7	CNVR_488	11	103219634	106640039
GNG13	7	CNVR_861	25	208098	1769456
LOC786948	7	CNVR_861	25	208098	1769456
MED15	7	CNVR_686	17	71355374	73106809
NOXA1	7	CNVR_488	11	103219634	106640039
OLFM1	7	CNVR_488	11	103219634	106640039
PI4KA	7	CNVR_686	17	71355374	73106809
PPIL2	7	CNVR_686	17	71355374	73106809
RFC5	7	CNVR_680	17	57083149	57194642
RPUSD1	7	CNVR_861	25	208098	1769456
SLC25A1	7	CNVR_686	17	71355374	73106809
SNAP29	7	CNVR_686	17	71355374	73106809
TAFA5	7	CNVR_244	5	118094837	120071585
TBC1D12	7	CNVR_875	26	15995830	16012895
WSB2	7	CNVR_680	17	57083149	57194642
ZNF644	7	CNVR_133	3	52255164	52399331
AHRR	6	CNVR_781	20	70604423	71835589
AIFM3	6	CNVR_686	17	71355374	73106809
AKT3	6	CNVR_642	16	33331779	33584654
ARHGAP15	6	CNVR_94	2	53100190	53646984
C25H16orf91	6	CNVR_861	25	208098	1769456
CRIP1	6	CNVR_802	21	68643064	69808854
CRIP2	6	CNVR_802	21	68643064	69808854
DPP7	6	CNVR_488	11	103219634	106640039
ESS2	6	CNVR_686	17	71355374	73106809
EXOC3	6	CNVR_781	20	70604423	71835589
FAHD1	6	CNVR_861	25	208098	1769456
FAM163B	6	CNVR_488	11	103219634	106640039
FAM221A	6	CNVR_183	4	71900384	72048949
GNPTG	6	CNVR_861	25	208098	1769456
HAGH	6	CNVR_861	25	208098	1769456
HERC4	6	CNVR_909	28	24340626	25229809
IGFALS	6	CNVR_861	25	208098	1769456
JMJD1C	6	CNVR_906	28	18916753	19430612
LZTR1	6	CNVR_686	17	71355374	73106809
