ID	Chr	Start	End	n_gene	gene_name
CNVR_1	1	835371	1363932	9	ATP5PO,MIR12045,MIR2285BS,CRYZL1,DONSON,SON,MIR6501,GART,TMEM50B
CNVR_2	1	4784221	4834622	NA	NA
CNVR_3	1	6154638	6236417	NA	NA
CNVR_4	1	6521869	6643841	2	LTN1,N6AMT1
CNVR_5	1	9038916	9080890	NA	NA
CNVR_6	1	14652420	14717338	NA	NA
CNVR_7	1	14876816	14961941	NA	NA
CNVR_8	1	15103954	15207398	NA	NA
CNVR_9	1	15491288	15605365	NA	NA
CNVR_10	1	15937076	16069418	NA	NA
CNVR_11	1	16119771	17021138	NA	NA
CNVR_12	1	17354497	17685698	NA	NA
CNVR_13	1	18946871	18998146	1	CXADR
CNVR_14	1	22539046	26966818	1	ROBO1
CNVR_15	1	30224415	30414871	NA	NA
CNVR_16	1	31038475	31269020	NA	NA
CNVR_17	1	31641787	31670765	NA	NA
CNVR_18	1	33149633	33176151	NA	NA
CNVR_19	1	37713094	37781476	NA	NA
CNVR_20	1	38352766	38403540	NA	NA
CNVR_21	1	38472886	40379850	NA	NA
CNVR_22	1	44526250	44542735	NA	NA
CNVR_23	1	45423220	45479172	1	ADGRG7
CNVR_24	1	47078177	50057426	1	MIR2285DK
CNVR_25	1	51169451	51211635	NA	NA
CNVR_26	1	55259756	55396138	NA	NA
CNVR_27	1	62918442	63025706	NA	NA
CNVR_28	1	70590429	71015840	5	OSBPL11,RPL35A,IQCG,FYTTD1,RUBCN
CNVR_29	1	71602911	71651658	1	RNF168
CNVR_30	1	71848306	72350394	3	PAK2,NCBP2,MELTF
CNVR_31	1	76322131	76347831	NA	NA
CNVR_32	1	81933912	82007029	1	IGF2BP2
CNVR_33	1	84345904	84424501	1	B3GNT5
CNVR_34	1	84660080	84897864	1	DCUN1D1
CNVR_35	1	88638760	88904687	2	ZMAT3,KCNMB2
CNVR_36	1	90813044	95047587	1	NLGN1
CNVR_37	1	95549663	95571642	NA	NA
CNVR_38	1	101686457	101752491	NA	NA
CNVR_39	1	102155986	102211862	NA	NA
CNVR_40	1	104804260	104881796	NA	NA
CNVR_41	1	105018867	105084197	NA	NA
CNVR_42	1	105405603	105603997	NA	NA
CNVR_43	1	105754655	105922886	NA	NA
CNVR_44	1	106062371	106295981	NA	NA
CNVR_45	1	123954981	124246283	NA	NA
CNVR_46	1	127518399	127749327	2	XRN1,GK5
CNVR_47	1	142904469	142999555	1	BACE2
CNVR_48	1	155772311	155802431	1	PLCL2
CNVR_49	2	160777	211641	NA	NA
CNVR_50	2	2254298	2303356	NA	NA
CNVR_51	2	4720583	4792312	1	LIMS2
CNVR_52	2	7457310	8521798	1	GULP1
CNVR_53	2	8933349	9454144	1	CALCRL
CNVR_54	2	9890166	13411225	NA	NA
CNVR_55	2	13597108	13668484	NA	NA
CNVR_56	2	19335330	19423385	1	AGPS
CNVR_57	2	24714894	25093953	5	SLC25A12,DYNC1I2,CYBRD1,DCAF17,METTL8
CNVR_58	2	25438405	25638543	1	GORASP2
CNVR_59	2	26362611	26460035	1	MIR12020
CNVR_60	2	26581537	26663654	4	METTL5,SSB,KLHL23,PHOSPHO2
CNVR_61	2	27366556	28035273	4	NOSTRIN,CERS6,MIR2353,STK39
CNVR_62	2	28246133	29839570	1	MIR2285W
CNVR_63	2	33138898	33255910	NA	NA
CNVR_64	2	35852731	35898373	NA	NA
CNVR_65	2	36438945	36483235	1	PLA2R1
CNVR_66	2	41251021	41304807	NA	NA
CNVR_67	2	42042712	42293689	1	GALNT13
CNVR_68	2	48116316	48169527	NA	NA
CNVR_69	2	53200694	53749577	1	ARHGAP15
CNVR_70	2	55325381	58384394	NA	NA
CNVR_71	2	62666783	62708028	2	CCNT2,ACMSD
CNVR_72	2	63897151	64043648	NA	NA
CNVR_73	2	64218639	64784574	NA	NA
CNVR_74	2	66696730	69527656	1	DPP10
CNVR_75	2	70866552	70957217	NA	NA
CNVR_76	2	74228539	78942271	NA	NA
CNVR_77	2	81336425	84170290	NA	NA
CNVR_78	2	98416238	98490521	1	ACADL
CNVR_79	2	109500850	109537765	NA	NA
CNVR_80	2	111090957	111229939	2	PAX3,MIR2284Y-5
CNVR_81	2	113716333	113946668	1	DOCK10
CNVR_82	2	115322601	115334808	NA	NA
CNVR_83	2	116287862	116325646	2	COL4A3,MFF
CNVR_84	2	120123192	120174934	NA	NA
CNVR_85	2	124336317	124398570	NA	NA
CNVR_86	2	129657387	129705588	2	FUCA1,HMGCL
CNVR_87	2	130381668	130511453	2	MIR2892,EPHB2
CNVR_88	3	413387	471545	1	TIPRL
CNVR_89	3	11012679	11063503	NA	NA
CNVR_90	3	16821631	16881296	5	S100A13,S100A14,S100A16,S100A2,S100A3
CNVR_91	3	20480189	20541753	2	PLEKHO1,VPS45
CNVR_92	3	20732147	20802121	5	SV2A,BOLA1,H2AC20,H2BC21,LOC115945173
CNVR_93	3	20937478	21044052	1	MGC134040
CNVR_94	3	28955936	29082177	1	TRIM33
CNVR_95	3	31748152	31808404	1	RAP1A
CNVR_96	3	32349008	32634203	3	CEPT1,DRAM2,CD53
CNVR_97	3	34421834	34501432	1	TAF13
CNVR_98	3	37172756	41992103	4	AMY2B,RNPC3,COL11A1,OLFM3
CNVR_99	3	43068469	43433688	7	RTCA,DBT,LRRC39,TRMT13,SASS6,MFSD14A,SLC35A3
CNVR_100	3	46842537	46922624	1	PTBP2
CNVR_101	3	52147508	52212857	1	HFM1
CNVR_102	3	52415820	52559046	2	ZNF644,MIR2285B-2
CNVR_103	3	54369910	55074485	1	GBP4
CNVR_104	3	55240336	55289372	1	PKN2
CNVR_105	3	56770061	56845685	1	LMO4
CNVR_106	3	59109464	59128666	1	SYDE2
CNVR_107	3	67214358	67348877	2	USP33,ZZZ3
CNVR_108	3	67440250	67474440	1	AK5
CNVR_109	3	68393127	68432145	NA	NA
CNVR_110	3	69252656	69315385	1	MSH4
CNVR_111	3	69596912	74348506	7	SLC44A5,TYW3,CRYZ,TNNI3K,FPGT,LRRIQ3,NEGR1
CNVR_112	3	91046714	91056753	NA	NA
CNVR_113	3	95427776	95625202	2	EPS15,RNF11
CNVR_114	3	100880075	101202890	6	IPP,GPBP1L1,NASP,AKR1A1,PRDX1,MMACHC
CNVR_115	3	106508411	106543574	1	RLF
CNVR_116	3	106808144	106833383	1	TRIT1
CNVR_117	3	110334180	110449617	1	AGO3
CNVR_118	3	110558160	110617198	1	CLSPN
CNVR_119	3	110807418	111021216	NA	NA
CNVR_120	3	120478760	121383238	12	AGXT,MTERF4,PPP1R7,SEPTIN2,STK25,BOK,THAP4,ATG4B,DTYMK,ING5,D2HGDH,PDCD1
CNVR_121	4	17112	4258236	1	VSTM2A
CNVR_122	4	5733619	5785559	1	ZPBP
CNVR_123	4	6223614	6425277	NA	NA
CNVR_124	4	7285114	7366793	NA	NA
CNVR_125	4	7708368	7839646	1	LOC100847712
CNVR_126	4	9094103	9324270	1	CYP51A1
CNVR_127	4	10876079	11247247	4	TFPI2,GNGT1,GNG11,BET1
CNVR_128	4	15849767	16918197	NA	NA
CNVR_129	4	17858900	18815510	1	NXPH1
CNVR_130	4	21094149	21413167	NA	NA
CNVR_131	4	22420101	22528691	1	DGKB
CNVR_132	4	22646006	22745371	1	DGKB
CNVR_133	4	23849498	23883976	1	AGMO
CNVR_134	4	30200987	30242853	NA	NA
CNVR_135	4	31032359	31075631	NA	NA
CNVR_136	4	45664659	45743508	1	ORC5
CNVR_137	4	48688283	48870790	3	GPR22,DUS4L,BCAP29
CNVR_138	4	58591926	59647887	2	RGS2,ATRAID
CNVR_139	4	59813010	59953839	1	RNF167
CNVR_140	4	62606492	62638018	1	NPSR1
CNVR_141	4	65259787	65291207	NA	NA
CNVR_142	4	66482908	67007235	4	MTURN,PLEKHA8,FKBP14,SCRN1
CNVR_143	4	67183757	67234109	NA	NA
CNVR_144	4	68918325	69107262	1	HIBADH
CNVR_145	4	69631486	69751713	1	SKAP2
CNVR_146	4	72297257	72561411	2	FAM221A,ADAM22
CNVR_147	4	73676903	73758088	1	ZNF804B
