name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
LOC100848815	124	CNVR_845	23	25560755	25730370
BLA-DQB	118	CNVR_845	23	25560755	25730370
PLEKHA8	65	CNVR_172	4	65991776	66576959
FKBP14	61	CNVR_172	4	65991776	66576959
MTURN	60	CNVR_172	4	65991776	66576959
GBP4	58	CNVR_126	3	54188660	54909666
CERS6	45	CNVR_75	2	27318294	27979992
SCRN1	45	CNVR_172	4	65991776	66576959
UGT2B10	45	CNVR_285	6	84203997	84480999
ZNF804B	41	CNVR_176	4	73129045	73288742
MIR2353	40	CNVR_75	2	27318294	27979992
BOLA-DRB3	38	CNVR_845	23	25560755	25730370
STK39	38	CNVR_75	2	27318294	27979992
LOC782061	36	CNVR_548	13	43322783	43433183
SOAT1	36	CNVR_658	16	60525984	60807765
ABL2	32	CNVR_658	16	60525984	60807765
NOSTRIN	31	CNVR_75	2	27318294	27979992
PRODH	31	CNVR_697	17	71355374	73155293
FGF14	27	CNVR_528	12	78163435	78251127
DGCR8	26	CNVR_697	17	71355374	73155293
RANBP1	26	CNVR_697	17	71355374	73155293
MIR1306	25	CNVR_697	17	71355374	73155293
MIR185	25	CNVR_697	17	71355374	73155293
TANGO2	25	CNVR_697	17	71355374	73155293
ARVCF	24	CNVR_697	17	71355374	73155293
COMT	24	CNVR_697	17	71355374	73155293
TXNRD2	24	CNVR_697	17	71355374	73155293
GNB1L	22	CNVR_697	17	71355374	73155293
LOC538060	18	CNVR_61	1	157665979	157775990
RABL6	18	CNVR_489	11	103219634	106640039
LOC616942	17	CNVR_849	23	27998654	28085043
CCDC183	16	CNVR_489	11	103219634	106640039
TMEM141	16	CNVR_489	11	103219634	106640039
RPL7A	15	CNVR_489	11	103219634	106640039
SURF4	15	CNVR_489	11	103219634	106640039
EDF1	14	CNVR_489	11	103219634	106640039
MAMDC4	14	CNVR_489	11	103219634	106640039
MED22	14	CNVR_489	11	103219634	106640039
PHPT1	14	CNVR_489	11	103219634	106640039
SURF6	14	CNVR_489	11	103219634	106640039
C8G	13	CNVR_489	11	103219634	106640039
CLDN5	13	CNVR_697	17	71355374	73155293
FBXW5	13	CNVR_489	11	103219634	106640039
