name2	Frequency	ID	Chr	CNVR_Start	CNVR_End
BLA-DQB	56	CNVR_236	23	25574900	25730370
LOC100848815	56	CNVR_236	23	25574900	25730370
UGT2B10	45	CNVR_87	6	84216982	84480999
FKBP14	31	CNVR_48	4	65991776	66576959
MTURN	31	CNVR_48	4	65991776	66576959
PLEKHA8	31	CNVR_48	4	65991776	66576959
SCRN1	30	CNVR_48	4	65991776	66576959
GBP4	27	CNVR_34	3	54188660	54909666
CERS6	21	CNVR_19	2	27318294	27979992
MIR2353	21	CNVR_19	2	27318294	27979992
STK39	21	CNVR_19	2	27318294	27979992
NOSTRIN	19	CNVR_19	2	27318294	27979992
ABL2	18	CNVR_189	16	60525984	60807765
SOAT1	18	CNVR_189	16	60525984	60807765
LOC522763	10	CNVR_225	21	19657415	19765895
BOLA-DRB3	8	CNVR_236	23	25574900	25730370
CD163L1	8	CNVR_66	5	102630827	103186163
FGF14	7	CNVR_153	12	78163435	78216262
SLC16A7	6	CNVR_61	5	51397786	55263686
LRIG3	5	CNVR_61	5	51397786	55263686
SIRPB1	5	CNVR_161	13	53444123	53526707
WC1-8	5	CNVR_66	5	102630827	103186163
BOLA-DQA2	4	CNVR_236	23	25574900	25730370
BOLA-DQA5	4	CNVR_236	23	25574900	25730370
BOLA-DQB	4	CNVR_236	23	25574900	25730370
CLDN10	4	CNVR_152	12	71881795	72996370
SNX9	4	CNVR_127	9	94501675	94536565
SORCS3	4	CNVR_258	26	25470807	25532406
VSTM2A	4	CNVR_40	4	190991	4229759
C8G	3	CNVR_143	11	103314790	106498854
CCDC183	3	CNVR_143	11	103314790	106498854
CLIC3	3	CNVR_143	11	103314790	106498854
COX7B2	3	CNVR_85	6	61752222	66011429
EDF1	3	CNVR_143	11	103314790	106498854
FBXW5	3	CNVR_143	11	103314790	106498854
GABRA2	3	CNVR_85	6	61752222	66011429
GABRA4	3	CNVR_85	6	61752222	66011429
GABRB1	3	CNVR_85	6	61752222	66011429
GABRG1	3	CNVR_85	6	61752222	66011429
GIMAP7	3	CNVR_54	4	112837075	113089385
GNPDA2	3	CNVR_85	6	61752222	66011429
GUF1	3	CNVR_85	6	61752222	66011429
KCTD8	3	CNVR_85	6	61752222	66011429
LOC536190	3	CNVR_85	6	61752222	66011429
LOC790886	3	CNVR_183	16	6000309	6196805
MAMDC4	3	CNVR_143	11	103314790	106498854
NXPH1	3	CNVR_42	4	16324078	18883420
PAXX	3	CNVR_143	11	103314790	106498854
PHPT1	3	CNVR_143	11	103314790	106498854
PMP22	3	CNVR_209	19	32754596	32871828
PTGDS	3	CNVR_143	11	103314790	106498854
RABL6	3	CNVR_143	11	103314790	106498854
ROBO1	3	CNVR_5	1	23030390	28064356
SORCS1	3	CNVR_259	26	27737887	27804094
TEKT3	3	CNVR_209	19	32754596	32871828
TMEM141	3	CNVR_143	11	103314790	106498854
UNC13C	3	CNVR_137	10	55628092	55725724
YIPF7	3	CNVR_85	6	61752222	66011429
BACE2	2	CNVR_12	1	141411087	141464985
C11H9orf116	2	CNVR_143	11	103314790	106498854
CAPZA3	2	CNVR_64	5	89124173	93490294
CCSER1	2	CNVR_78	6	30915027	35042532
CFAP299	2	CNVR_88	6	94886288	95756736
CHRM3	2	CNVR_271	28	9798692	12499570
CLDN7	2	CNVR_208	19	26942729	27421507
CPT1A	2	CNVR_278	29	46047863	46178866
CSMD3	2	CNVR_165	14	49401100	54481400
CTDNEP1	2	CNVR_208	19	26942729	27421507
CTNNA3	2	CNVR_272	28	20251683	24082828
CYSRT1	2	CNVR_143	11	103314790	106498854
DPP7	2	CNVR_143	11	103314790	106498854
DVL2	2	CNVR_208	19	26942729	27421507
ENTPD2	2	CNVR_143	11	103314790	106498854
ENTPD8	2	CNVR_143	11	103314790	106498854
FAM221A	2	CNVR_49	4	71904246	72048949
FTMT	2	CNVR_96	7	31773528	34133530
FUT7	2	CNVR_143	11	103314790	106498854
GABARAP	2	CNVR_208	19	26942729	27421507
GAL	2	CNVR_278	29	46047863	46178866
GALNTL6	2	CNVR_107	8	2008965	5147600
GDPD5	2	CNVR_178	15	54683112	54732561
GRIA4	2	CNVR_171	15	1905039	4162300
KCND2	2	CNVR_52	4	82887750	85232259
KCNMB2	2	CNVR_9	1	88012422	88278205
LMO3	2	CNVR_64	5	89124173	93490294
LOC782061	2	CNVR_159	13	43322783	43433183
LOC787518	2	CNVR_62	5	57723436	59904115
LOC788615	2	CNVR_62	5	57723436	59904115
LRRTM3	2	CNVR_272	28	20251683	24082828
LZTS2	2	CNVR_257	26	21840164	21919481
MIR10164	2	CNVR_211	19	52122464	52254545
MIR12014	2	CNVR_143	11	103314790	106498854
MIR2285AG	2	CNVR_271	28	9798692	12499570
MIR2285BL	2	CNVR_271	28	9798692	12499570
MIR8549	2	CNVR_101	7	75588817	80423038
MRPS2	2	CNVR_143	11	103314790	106498854
NDOR1	2	CNVR_143	11	103314790	106498854
NDST4	2	CNVR_71	6	7474743	10768087
NOXA1	2	CNVR_143	11	103314790	106498854
NPDC1	2	CNVR_143	11	103314790	106498854
NPHS2	2	CNVR_189	16	60525984	60807765
PHF23	2	CNVR_208	19	26942729	27421507
PIK3C2G	2	CNVR_64	5	89124173	93490294
PLCZ1	2	CNVR_64	5	89124173	93490294
