Chr	Start	End
1	16446038	16604159
1	16817375	17537664
1	23030390	28064356
1	38870499	41759552
1	47050759	49515972
1	54843886	54978255
1	88012422	88278205
1	90408826	94679895
1	122712193	123649875
1	157665979	157775990
2	204346	288663
2	9813911	13382039
2	27318294	27979992
2	28138222	29743773
2	48014334	48055631
2	55118213	58086161
2	63502622	63711962
2	63886842	64472720
2	66345695	69169219
2	73809585	78576254
2	80657530	84228252
3	10881628	10946349
3	37054466	41843499
3	54188660	54909666
3	69516299	74015041
3	119893611	120957517
4	190991	4229759
4	6305048	6534219
4	16324078	18883420
4	45400553	45479387
4	58226979	59276289
4	59421575	59566132
4	65991776	66576959
4	71900384	72048949
4	73129045	73288742
4	82887750	85232259
4	105149433	105304020
4	112837075	113089385
5	27040938	27114028
5	51397786	55263686
5	57723436	59953158
5	87897883	87923946
5	89124173	93490294
5	100100898	100409257
5	102630827	103186163
5	118094837	120071585
6	7474743	10768087
6	11131845	11247607
6	18917943	18955466
6	23673373	23807252
6	27672686	27932016
6	30915027	35042532
6	36535012	36551432
6	37819224	37860407
6	47202455	49915071
6	51955052	52193551
6	61752222	66011429
6	84203997	84480999
6	94886288	95756736
6	102542717	102646839
7	302318	435584
7	8512784	10694692
7	21593442	21869803
7	22521430	23489956
7	28207278	28329677
7	31773528	34133530
7	41936355	41982734
7	68574155	68783389
7	75588817	80423038
7	83703710	86213365
7	91120492	92627202
7	98715802	98850559
7	102857357	106478723
7	109870217	110301720
8	17475905	21691570
8	91640710	93543992
8	94169835	94496686
9	6120381	6158396
9	13993416	14079882
9	15766008	18194116
9	30547032	30573582
9	34887270	35923167
9	45934644	47588878
9	65604455	65685760
