Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequency	n_Sample	0	1	3	4	Type	Length	Check_gene
1	597	NM_174244	+	1643679	1651038	1643709	1650970	7	1643679,1645081,1646078,1648342,1649154,1650492,1650856,	1643745,1645132,1646189,1648472,1649267,1650579,1651038,	0	ATP5PO	cmpl	cmpl	0,0,0,0,1,0,0,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	597	NR_162412	-	1666062	1666125	1666125	1666125	1	1666062,	1666125,	0	MIR12045	unk	unk	-1,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	598	NR_162306	-	1727074	1727135	1727135	1727135	1	1727074,	1727135,	0	MIR2285BS	unk	unk	-1,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	599	NM_001035037	+	1909585	1943207	1918314	1942914	13	1909585,1918308,1919950,1920756,1922869,1924592,1933204,1934464,1936832,1938586,1939736,1942228,1942814,	1909641,1918380,1920028,1920829,1922914,1924661,1933338,1934576,1936931,1938708,1939842,1942274,1943207,	0	CRYZL1	cmpl	cmpl	-1,0,0,0,1,1,1,0,1,1,0,1,2,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	599	NM_001083445	+	1943960	1954001	1943960	1953367	10	1943960,1945008,1946022,1947128,1948520,1949322,1949512,1950463,1951841,1953229,	1944257,1945089,1946226,1947307,1948699,1949404,1949617,1950662,1952054,1954001,	0	DONSON	cmpl	cmpl	0,0,0,0,2,1,2,2,0,0,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	74	NM_001083694	-	1954260	1985117	1955011	1985068	13	1954260,1955689,1955906,1957761,1961941,1963068,1970278,1970660,1972709,1974168,1978268,1981826,1984991,	1955170,1955805,1955978,1957909,1962058,1963179,1970467,1970807,1972871,1977311,1980071,1981993,1985117,	0	SON	cmpl	cmpl	0,1,1,0,0,0,0,0,0,1,1,2,0,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	600	NR_162354	-	1978828	1978892	1978892	1978892	1	1978828,	1978892,	0	MIR6501	unk	unk	-1,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	600	NM_001040473	+	1986097	2012385	1988873	2011792	22	1986097,1988832,1990100,1990673,1994092,1995173,1995744,1996947,1997524,1997774,2000915,2003026,2003415,2003867,2005108,2005652,2007808,2009100,2010231,2010603,2011402,2011600,	1986148,1989018,1990196,1990848,1994204,1995242,1995870,1997035,1997610,1997943,2001147,2003121,2003525,2004066,2005360,2005805,2008015,2009238,2010362,2010745,2011518,2012385,	0	GART	cmpl	cmpl	-1,0,1,1,2,0,0,0,1,0,1,2,1,0,1,1,1,1,1,0,1,0,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1	600	NM_001034786	+	2046732	2083569	2065203	2082136	7	2046732,2065162,2067274,2068671,2075723,2078591,2082090,	2046833,2065302,2067387,2068739,2075816,2078649,2083569,	0	TMEM50B	cmpl	cmpl	-1,0,0,2,1,1,2,	CNVR_1	1556392	2086121	10	10		6	4		Mixed	529730	Has_gene
1																CNVR_2	5519231	5569070	1	1		1			Loss	49840	Non_gene
1																CNVR_3	6813154	6893254	1	1		1			Loss	80101	Non_gene
1	79	NM_001192509	+	7183912	7240822	7183912	7240373	30	7183912,7189373,7190175,7191303,7193836,7194655,7199627,7200746,7201980,7202952,7204447,7207063,7207920,7208775,7209726,7210331,7212125,7213237,7216915,7221271,7221597,7222644,7223354,7224146,7230181,7234669,7235933,7237680,7239240,7240310,	7183954,7189577,7190274,7191534,7193889,7194836,7199801,7200937,7202116,7203762,7204489,7207253,7208160,7208929,7209871,7210518,7212285,7213342,7217058,7221407,7221742,7222858,7223592,7224221,7230368,7234841,7236154,7237875,7239408,7240822,	0	LTN1	cmpl	cmpl	0,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,1,2,2,1,2,0,1,2,2,0,1,0,0,0,	CNVR_4	7159731	7202401	1	1			1		Gain	42671	Has_gene
1	640	NM_001083513	-	7267111	7280839	7267902	7280832	6	7267111,7269089,7272920,7276636,7277452,7280698,	7268009,7269231,7273004,7276727,7277539,7280839,	0	N6AMT1	cmpl	cmpl	1,0,0,2,2,0,	CNVR_5	7260253	7280774	1	1			1		Gain	20522	Has_gene
1																CNVR_6	9666125	9708099	1	1			1		Gain	41975	Non_gene
1																CNVR_7	10954721	11033253	1	1		1			Loss	78533	Non_gene
1																CNVR_8	14247401	14579710	7	7		2	5		Mixed	332310	Non_gene
1																CNVR_9	15408544	15492702	1	1		1			Loss	84159	Non_gene
1																CNVR_10	15624885	15727563	3	3		3			Loss	102679	Non_gene
1																CNVR_11	15990556	16114873	2	2		2			Loss	124318	Non_gene
1																CNVR_12	16446038	16604159	1	1			1		Gain	158122	Non_gene
1																CNVR_13	16817375	17041419	1	1			1		Gain	224045	Non_gene
1																CNVR_14	17105670	17537664	18	18	1	14	3		Mixed	431995	Non_gene
1																CNVR_15	17863023	18194846	11	11		7	4		Mixed	331824	Non_gene
1																CNVR_16	18918611	19206010	2	2		2			Loss	287400	Non_gene
1																CNVR_17	20541415	20566611	1	1		1			Loss	25197	Non_gene
1																CNVR_18	23274127	23335758	1	1		1			Loss	61632	Non_gene
1																CNVR_19	25480755	25495578	1	1		1			Loss	14824	Non_gene
1																CNVR_20	28042222	28064356	1	1		1			Loss	22135	Non_gene
1																CNVR_21	30659162	30840833	3	3		3			Loss	181672	Non_gene
1																CNVR_22	31475581	31699827	4	4		4			Loss	224247	Non_gene
1																CNVR_23	32073771	32180030	1	1			1		Gain	106260	Non_gene
1																CNVR_24	33584316	33610831	1	1		1			Loss	26516	Non_gene
1																CNVR_25	38112817	38181686	11	11		10	1		Mixed	68870	Non_gene
1																CNVR_26	38752163	38802298	1	1		1			Loss	50136	Non_gene
1																CNVR_27	39123286	39249574	3	3		1	2		Mixed	126289	Non_gene
1																CNVR_28	39853010	39978358	4	4		2	2		Mixed	125349	Non_gene
1																CNVR_29	40392357	40442160	1	1		1			Loss	49804	Non_gene
1																CNVR_30	40721810	40763708	2	2			2		Gain	41899	Non_gene
1																CNVR_31	42466675	42574052	2	2		2			Loss	107378	Non_gene
1																CNVR_32	42615734	42692592	3	3		3			Loss	76859	Non_gene
1	925	NM_001038133	+	44617615	44637448	44617664	44637162	10	44617615,44622593,44624227,44625776,44630240,44630844,44631985,44633725,44636674,44637070,	44617671,44622712,44624348,44625865,44630334,44630919,44632064,44633824,44636730,44637448,	0	NIT2	cmpl	cmpl	0,1,0,1,0,1,1,2,2,1,	CNVR_33	44571298	44649313	3	3		1	2		Mixed	78016	Has_gene
1	14	NM_001083702	+	45082064	45145327	45082290	45144874	16	45082064,45102195,45103655,45107416,45110510,45111958,45116574,45116828,45120305,45121019,45124298,45129529,45130858,45135010,45137231,45144625,	45082405,45102309,45103760,45107529,45110660,45112062,45116714,45116936,45120469,45121175,45124411,45129876,45130955,45135166,45137388,45145327,	0	ADGRG7	cmpl	cmpl	0,1,1,1,0,0,2,1,1,0,0,2,1,2,2,0,	CNVR_34	45090218	45146168	1	1			1		Gain	55951	Has_gene
1	116	NM_001101888	-	45817783	45962890	45819465	45962831	24	45817783,45823333,45824285,45824445,45830303,45831324,45832086,45836862,45843272,45844751,45847014,45848715,45853141,45859150,45862079,45863624,45866630,45880438,45898749,45908091,45925100,45935937,45941671,45962791,	45819603,45823484,45824354,45824489,45830356,45831449,45832179,45836985,45843389,45844885,45847277,45848895,45853175,45859297,45862237,45863964,45866812,45880548,45898944,45908289,45925198,45936036,45941724,45962890,	0	SENP7	cmpl	cmpl	0,2,2,0,1,2,2,2,2,0,1,1,0,0,1,0,1,2,2,2,0,0,1,0,	CNVR_35	45837138	45869917	1	1			1		Gain	32780	Has_gene
1																CNVR_36	47941818	48061029	3	3		2	1		Mixed	119212	Non_gene
1																CNVR_37	48869448	48958647	2	2		2			Loss	89200	Non_gene
1	120	NM_174238	+	49931477	50158043	49931477	50158043	15	49931477,50090622,50095102,50102308,50104036,50104586,50109728,50111557,50130638,50133377,50133618,50136760,50138748,50139076,50157955,	49931550,50090723,50095322,50102373,50104124,50104769,50109856,50111690,50130751,50133513,50133752,50136893,50138787,50139194,50158043,	0	ALCAM	cmpl	cmpl	0,1,0,1,0,1,1,0,1,0,1,0,1,1,2,	CNVR_38	49952651	50064432	1	1		1			Loss	111782	Has_gene
1																CNVR_39	50767507	50809694	1	1		1			Loss	42188	Non_gene
1																CNVR_40	54843886	54978255	1	1		1			Loss	134370	Non_gene
